Арахамія;Давид;Георгійович;"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""";№4
Арендач;Михайло;Богданович;"Політична Партія ""ПАТРІОТ""";№90
Арешков;Анатолій;Михайлович;Самовисування;№64
Арешонков;Володимир;Юрійович;Самовисування;№64
Ар’єв;Володимир;Ігорович;"Політична партія ""Європейська Солідарність""";№17
Арістов;Юрій;Юрійович;"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""";№42
Арканова-Чорна;Ольга;Юріївна;"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""";№220
Армаш;Олена;Анатоліївна;"політична партія ""Громадянська позиція""";№122
Арналюк;Микола;Іванович;"Політична Партія ""ПАТРІОТ""";№113
Аронець;Олександр;Романович;"політична партія Всеукраїнське об’єднання ""Свобода""";№88
Арсенова;Анна;Андріївна;"ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛЬНА СПРАВЕДЛИВІСТЬ""";№103
Арсенюк;Олег;Олексійович;"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""";№195
Арсенюк;Сергій;Петрович;"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""";№159
Артеменко;Віктор;Володимирович;"Політична Партія ""ГОЛОС""";№191
Артеменко;Надія;Михайлівна;"Політична партія ""Європейська Солідарність""";№159
Артеменко;Сергій;Вікторович;"Політична партія ""Європейська Солідарність""";№215
Артьомов;Сергій;Миколайович;"ПОЛІТИЧНА ПАРТІЯ ""ВОЛЯ""";№62
Артюх;Юрій;Петрович;"політична партія Всеукраїнське об’єднання ""Свобода""";№110
Артюшенко;Ігор;Андрійович;"Політична партія ""Європейська Солідарність""";№41
Архип’юк;Ярослав;Віталійович;"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""";№198
Архіпов;Віталій;Вікторович;"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКО-ПОЛІТИЧНА ПЛАТФОРМА НАДІЇ САВЧЕНКО""";№90
Асмолов;Сергій;Вікторович;Самовисування;№205
Астахова;Олена;Іванівна;Самовисування;№79
Астіон;Василь;Миколайович;"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""";№20
Астраханцев;Андрій;Владиславович;"політична партія Всеукраїнське об’єднання ""Свобода""";№63
Атаманюк;Олег;Юрійович;Самовисування;№89
Атєрлєй;Дмитро;Григорович;"Політична Партія ""ГОЛОС""";№133
Аузяк;Дмитро;Васильович;"політична партія Всеукраїнське об’єднання ""Свобода""";№173
Афанасьєв;Олександр;Вікторович;Самовисування;№191
Ахметов;Родіон;Едуардович;"Політична партія ""Рух Нових Сил Михайла Саакашвілі""";№85
Ахрамєєв;Павло;Олександрович;Самовисування;№106
Ашерова;Маргарита;Євгеніївна;Самовисування;№79
Бабаєв;Сергій;Сергійович;"Політична партія ""Європейська Солідарність""";№171
Бабак;Сергій;Віталійович;"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""";№11
Бабанін;Олег;Володимирович;"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""";№107
Бабаханов;Руслан;Олексійович;"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""";№22
Бабаченко;Віктор;Вікторович;"політична партія Всеукраїнське об’єднання ""Батьківщина""";№198
Бабенко;Григорій;Іванович;"політична партія Всеукраїнське об’єднання ""Батьківщина""";№102
Бабенко;Микола;Вікторович;"Політична Партія ""Біла Церква разом""";№90
Бабенко;Микола;Миколайович;Самовисування;№90
Бабенко;Михайло;Миколайович;Самовисування;№205
Бабенко;Ольга;Володимирівна;"політична партія Всеукраїнське об’єднання ""Батьківщина""";№33
Бабенчук;Михайло;Васильович;"політична партія ""Громадянська позиція""";№147
Бабинець;Юрій;Миколайович;"Політична Партія ""ГОЛОС""";№42
Бабич;Андрій;Олександрович;"ПОЛІТИЧНА ПАРТІЯ ""СИЛА ПРАВА""";№32
Бабичева;Людмила;Геннадіївна;"ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""";№205
Бабіжаєва;Ольга;Анатоліївна;"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""";№136
Бабій;Іван;Васильович;"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""";№104
Бабій;Ольга;Андріївна;"Політична партія ""Об’єднання ""САМОПОМІЧ""";№10
Бабій;Роман;Вячеславович;"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""";№48
Бабінська;Мирослава;Романівна;"політична партія Всеукраїнське об’єднання ""Свобода""";№123
Бабіч;Гліб;Валерійович;"Політична партія ""Європейська Солідарність""";№51
Бабошин;Данило;Вячеславович;"Політична Партія ""ПАТРІОТ""";№76
Бабурін;Олексій;Олексійович;Самовисування;№82
Баганець;Олексій;Васильович;"політична партія Всеукраїнське об’єднання ""Батьківщина""";№148
Багіров;Артем;Григорович;"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""";№213
Баглей;Борис;Михайлович;"політична партія ""Громадянська позиція""";№56
Баграновська;Тетяна;Юріївна;"Політична партія ""Рух Нових Сил Михайла Саакашвілі""";№36
Бажан;Сергій;Павлович;"ПОЛІТИЧНА ПАРТІЯ ""НЕЗАЛЕЖНІСТЬ""";№27
Бажановська;Олена;Василівна;Самовисування;№105
Баженов;Сергій;Владиславович;"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""";№48
Бажора;Володимир;Адимович;"Політична партія ""Рух Нових Сил Михайла Саакашвілі""";№54
Базан;Ольга;Миколаївна;Самовисування;№114
Базарнова;Аліна;Володимирівна;"Політична партія ""Об’єднання ""САМОПОМІЧ""";№54
Базелюк;Володимир;Васильович;"політична партія Всеукраїнське об’єднання ""Свобода""";№12
Базюк;Тамара;Володимирівна;Самовисування;№88
Байдан;Світлана;Миколаївна;"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""";№48
Байло;Людмила;Віталіївна;"політична партія Всеукраїнське об’єднання ""Свобода""";№70
Байрамов;Євген;Вахид;"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""";№76
Байтала;Михайло;Романович;"Політична Партія ""ПАТРІОТ""";№12
Байчук;Костянтин;Євгенійович;"ПОЛІТИЧНА ПАРТІЯ ""СИЛА ПРАВА""";№31
Бакаєв;Андрій;Павлович;"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""";№82
Бакал;Олександр;Іванович;Самовисування;№142
Бакуменко;Оксана;Олександрівна;Самовисування;№170
Бакумов;Олександр;Сергійович;"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""";№173
Бакун;Володимир;Миколайович;"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""";№184
Бакунець;Павло;Андрійович;"Політична партія ""Об’єднання ""САМОПОМІЧ""";№122
Бакшеєв;Віктор;Валерійович;"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""";№147
Баланюк;Галина;Миколаївна;Аграрна партія України;№103
Баласанян;Ніна;Іванівна;"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДЯНСЬКИЙ РУХ ""ХВИЛЯ""";№169
Балацко;Юрій;Іванович;"політична партія ""Громадянська позиція""";№121
Балацький;Іван;Володимирович;"Політична партія ""Європейська Солідарність""";№150
Балдук;Анна;Олексіївна;"Політична Партія ""ГОЛОС""";№67
Балицька;Любов;Антонівна;"Політична партія ""Об’єднання ""САМОПОМІЧ""";№85
Балицький;Євген;Віталійович;Самовисування;№80
Балога;Віктор;Іванович;політична партія Єдиний Центр;№69
Балога;Іван;Іванович;політична партія Єдиний Центр;№70
Балога;Іван;Іванович;Самовисування;№70
Балога;Павло;Іванович;політична партія Єдиний Центр;№73
Балук;Любомир;Іванович;"політична партія ""Громадянська позиція""";№63
Бальцій;Юрій;Юрійович;"ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛЬНА СПРАВЕДЛИВІСТЬ""";№141
Балюк;Євген;Віталійович;"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""";№224
Балясна;Вікторія;Євгенівна;Аграрна партія України;№131
Банген;Анатолій;Володимирович;Самовисування;№175
Бандурко;Оксана;Олександрівна;"ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛЬНА СПРАВЕДЛИВІСТЬ""";№111
Бандуров;Володимир;Володимирович;"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""";№79
Банчук;Ярослав;Арсенійович;"Політична Партія ""ПАТРІОТ""";№82
Барабаш;Сергій;Валерійович;Самовисування;№45
Баранкевич;Галина;Євгенівна;"Політична Партія ""ГОЛОС""";№83
Баранник;Василь;Володимирович;"ПОЛІТИЧНА ПАРТІЯ ""ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""ФАКЕЛ""";№11
Баранников;Сергій;Олександрович;"Політична партія ""Об’єднання ""САМОПОМІЧ""";№168
Баранов;Андрій;Володимирович;"політична партія Всеукраїнське об’єднання ""Батьківщина""";№118
Баранов;Андрій;Павлович;"ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""";№36
Баранов;Віталій;Анатолійович;Самовисування;№96
Баранов;Костянтин;Володимирович;Самовисування;№80
Баранов;Родіон;Романович;Самовисування;№35
Барановська;Ольга;Олександрівна;Самовисування;№24
Барановський;Борис;Олександрович;"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""";№122
Баранський;Віктор;Сергійович;"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""";№133
Барвіненко;Віталій;Дмитрович;Самовисування;№141
Барвіненко;Віталій;Миколайович;Самовисування;№141
Бардаш;Олександр;Вікторович;Самовисування;№213
Бардіна;Марина;Олегівна;"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""";№62
Барна;Олег;Степанович;"Політична партія ""Європейська Солідарність""";№167
Барна;Степан;Степанович;"Політична партія ""Європейська Солідарність""";№163
Барняк;Тарас;Михайлович;"політична партія Всеукраїнське об’єднання ""Свобода""";№96
Барський;Олександр;Леонідович;"політична партія Всеукраїнське об’єднання ""Батьківщина""";№181
Бартош;Олександр;Петрович;"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""";№210
Бас;Андрій;Ігорович;"ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""";№123
Басан;Галина;Григорівна;"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""";№100
Басараб;Сергій;Михайлович;"Політична партія ""Європейська Солідарність""";№89
Басюк;Віталій;Валерійович;"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ""";№10
Басюк;Юрій;Олексійович;"Політична партія ""Європейська Солідарність""";№133
Батенко;Тарас;Іванович;Самовисування;№123
Батирсултанов;Махач;Далгатович;Самовисування;№51
Батій;Вадим;Валерійович;"політична партія Всеукраїнське об’єднання ""Свобода""";№173
Батлюк;Олег;Володимирович;"політична партія Всеукраїнське об’єднання ""Батьківщина""";№185
Батура;Наталія;Володимирівна;Самовисування;№49
Батуріна;Найля;Валентинівна;"ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛЬНА СПРАВЕДЛИВІСТЬ""";№93
Бахтеєва;Тетяна;Дмитрівна;"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""";№26
Башкаленко;Олександр;Костянтинович;"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""";№45
Башта;Олександр;Ілліч;"політична партія Всеукраїнське об’єднання ""Свобода""";№152
Баштан;Олег;Васильович;Самовисування;№200
Баюрчак;Назарій;Володимирович;"ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛЬНА СПРАВЕДЛИВІСТЬ""";№134
Бебешко;Анатолій;Сергійович;"політична партія Всеукраїнське об’єднання ""Батьківщина""";№93
Бевз;Світлана;Володимирівна;Самовисування;№11
Бевз;Сергій;Васильович;"політична партія Всеукраїнське об’єднання ""Свобода""";№21
Бевз;Сергій;Владиславович;"ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""";№42
Бевз;Христина;Мирославівна;"політична партія Всеукраїнське об’єднання ""Свобода""";№221
Бевзан;Юрій;Степанович;"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""";№193
Бевзенко;Сергій;Георгійович;"ПОЛІТИЧНА ПАРТІЯ ""НЕЗАЛЕЖНІСТЬ""";№28
Бевзюк;Євгеній;Володимирович;"політична партія ""Громадянська позиція""";№84
Бегей;Василь;Амброзійович;"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""";№46
Беднарчик;Наталія;Ігорівна;Самовисування;№121
Бедрата;Руслана;Іванівна;"Політична Партія ""ПАТРІОТ""";№100
Бедров;Олександр;Васильович;"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""";№142
Беженар;Вячеслав;Миколайович;Самовисування;№133
Беженар;Мірча;Дмитрович;Самовисування;№203
Безбородько;Андрій;Михайлович;Самовисування;№201
Безвершенко;Юлія;Василівна;"Політична Партія ""ГОЛОС""";№46
Безгін;Віталій;Юрійович;"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""";№77
Бездуган;Віталій;Васильович;Самовисування;№103
Безкостий;Роман;Петрович;"політична партія Всеукраїнське об’єднання ""Свобода""";№68
Безніс;Олександр;Олександрович;"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""";№214
Безноско;Василь;Іванович;"ПОЛІТИЧНА ПАРТІЯ ""НЕЗАЛЕЖНІСТЬ""";№21
Безпалюк;Віталій;Анатолійович;"Політична Партія ""ГОЛОС""";№106
Безсмертний;Роман;Петрович;Самовисування;№221
Безугла;Мар’яна;Володимирівна;"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""";№217
Безуглий;Олександр;Миколайович;"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""";№60
Бейдерман;Броніслава;Володимирівна;"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""";№187
Бейко;Віктор;Олегович;Самовисування;№25
Бек;Ірина;Володимирівна;"Політична Партія ""ГОЛОС""";№70
Бекерська;Людмила;Сергіївна;"політична партія Всеукраїнське об’єднання ""Батьківщина""";№142
Белейканич;Олег;Іштванович;"Політична Партія ""ГОЛОС""";№121
Беленюк;Жан;Венсанович;"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""";№10
Бельмега;Роман;Михайлович;Самовисування;№91
Беньковський;Борис;Броніславович;"Політична партія ""Об’єднання ""САМОПОМІЧ""";№72
Бенюк;Богдан;Михайлович;"політична партія Всеукраїнське об’єднання ""Свобода""";№6
Бердник;Дініс;Володимирович;"Політична партія ""Об’єднання ""САМОПОМІЧ""";№183
Бережна;Зоя;Яківна;Самовисування;№183
Бережной;Олександр;Анатолійович;Самовисування;№106
Береза;Борислав;Юхимович;Самовисування;№213
Береза;Оксана;Андріївна;"політична партія Всеукраїнське об’єднання ""Свобода""";№124
Береза;Юлія;Миколаївна;"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""";№189
Береза;Юрій;Миколайович;Самовисування;№24
Березань;Ярослав;Григорович;"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""";№61
Берездецький;Мар’ян;Романович;"політична партія Всеукраїнське об’єднання ""Свобода""";№73
Березін;Максим;Юрійович;"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""";№151
Березкін;Максим;Станіславович;Самовисування;№157
Березкін;Станіслав;Семенович;Самовисування;№100
Березовський;Андрій;Андрійович;"політична партія ""Громадянська позиція""";№135
Березовський;Павло;Павлович;"політична партія ""Громадянська позиція""";№100
Ваврищук;Вадим;Петрович;Самовисування;№20
Вагапов;Андрій;Володимирович;"Політична Партія ""ПАТРІОТ""";№136
Вагін;Володимир;Володимирович;"ПОЛІТИЧНА ПАРТІЯ ""СИЛА ПРАВА""";№62
Вагнєр;Вікторія;Олександрівна;"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""";№183
Вадатурський;Андрій;Олексійович;Самовисування;№130
Вайвала;Володимир;Володимирович;Самовисування;№134
Вайло;Олександр;Григорович;Самовисування;№209
Вака;Валерій;Валерійович;Аграрна партія України;№155
Вакарашу;Людмила;Олександрівна;"ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛЬНА СПРАВЕДЛИВІСТЬ""";№57
Вакарчук;Святослав;Іванович;"Політична Партія ""ГОЛОС""";№1
Ваколюк;Людмила;Євгенівна;"політична партія Всеукраїнське об’єднання ""Батьківщина""";№12
Валентиров;Сергій;Васильович;"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""";№81
